opendata_id;city;postcode;latitude;longitude;ihk_branch_id;nace_id;branch_top_level_id;employees_range;ihk_branch_desc;nace_desc;branch_top_level_desc;business_age;business_type;Bezirk;planungsraum_id;Planungsraum;Bezirksregion;Prognoseraum;
6063606;Berlin;10713;52,48873738;13,30283351;562900;5629;56;0;Kantinen;Erbringung sonstiger Verpflegungsdienstleistungen;Gastronomie;39;Kleingewerbetreibender;Charlottenburg-Wilmersdorf;4500939;Eisenzahnstraße;Halensee;Wilmersdorf Zentrum;Wilmersdorf
131831318;Berlin;10713;52,47929564;13,31905134;47430;4743;47;0;EH m. Geräten der Unterhaltungselektronik;EH m. Geräten der Unterhaltungselektronik;Einzelhandel (ohne Handel mit Kraftfahrzeugen);38;Kleingewerbetreibender;Charlottenburg-Wilmersdorf;4501148;Brabanter Platz;Volkspark Wilmersdorf;Wilmersdorf Zentrum;Wilmersdorf
9,43032E+11;Berlin;12047;52,48619997;13,42931164;731108;7311;73;0;Promotion, Propagandisten;Werbeagenturen;Werbung u. Marktforschung;11;im Handelsregister eingetragen;Neukölln;8100314;Donaustraße;Reuterstraße;Neukölln;Neukölln
9,27439E+11;Berlin;12435;52,49220653;13,45132444;451103;4511;45;1 - 3 Beschäftigte;EH m. Elektro-, Gas- u. Hybridfahrzeugen;Handel m. Kraftwagen mit einem Gesamtgewicht v. 3,5 t oder w;"Handel mit Kraftfahrzeugen; Instandhaltung u. Reparatur v. K";8;Kleingewerbetreibender;Treptow-Köpenick;9100101;Alt-Treptow;Alt-Treptow;Treptow-Köpenick 1;Alt-Treptow
9,27442E+11;Berlin;10117;52,51350928;13,38579132;6831;6831;68;4 - 6 Beschäftigte;Vermittlung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte;Vermittlung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte;Grundstücks- u. Wohnungswesen;8;Kleingewerbetreibender;Mitte;1100206;Unter den Linden;Regierungsviertel;Zentrum;Mitte
9,42996E+11;Berlin;10245;52,51379779;13,45421656;62020;6202;62;0;Erbringung v. Beratungsleistungen auf dem Gebiet der Informa;Erbringung v. Beratungsleistungen auf dem Gebiet der Informa;Erbringung v. Dienstleistungen der Informationstechnologie;8;im Handelsregister eingetragen;Friedrichshain-Kreuzberg;2500833;Boxhagener Platz;Frankfurter Allee Süd FK;Friedrichshain Ost;Friedrichshain
9,43012E+11;Berlin;10437;52,54773355;13,40235652;81100;8110;81;0;Hausmeisterdienste;Hausmeisterdienste;"Gebäudebetreuung; Garten- u. Landschaftsbau";8;im Handelsregister eingetragen;Pankow;3601142;Falkplatz;Prenzlauer Berg Nordwest;Nördlicher Prenzlauer Berg;Prenzlauer Berg
33244216;Berlin;13507;52,58392718;13,28673556;47770;4777;47;4 - 6 Beschäftigte;EH m. Uhren u. Schmuck;EH m. Uhren u. Schmuck;Einzelhandel (ohne Handel mit Kraftfahrzeugen);38;Kleingewerbetreibender;Reinickendorf;12200515;Alt-Tegel;West 5 - Tegel;Tegel;Tegel
32554170;Berlin;10709;52,49908755;13,30074032;6419;6419;64;4 - 6 Beschäftigte;Kreditinstitute (ohne Spezialkreditinstitute);Kreditinstitute (ohne Spezialkreditinstitute);Erbringung v. Finanzdienstleistungen;42;Kleingewerbetreibender;Charlottenburg-Wilmersdorf;4500937;Halensee;Halensee;Wilmersdorf Zentrum;Halensee
455741038;Berlin;10787;52,50220217;13,3461736;82999;8299;82;1 - 3 Beschäftigte;Erbringung v. anderen wirtschaftlichen Dienstleistungen f. U;Erbringung sonstiger wirtschaftlicher Dienstleistungen f. Un;Erbringung v. wirtschaftlichen Dienstleistungen f. Unternehm;39;Kleingewerbetreibender;Tempelhof-Schöneberg;7100101;Wittenbergplatz;Schöneberg Nordwest;Schöneberg Nord;Schöneberg
9,43002E+11;Berlin;13187;52,5732859;13,41947652;741010;7410;74;0;Modedesign;Ateliers f. Textil-, Schmuck-, Grafik- u. ä. Design;Sonstige freiberufliche, wissenschaftliche u. technische Tät;8;im Handelsregister eingetragen;Pankow;3400723;Garbátyplatz;Pankow Zentrum;Südliches Pankow;Pankow
9,43021E+11;Berlin;12526;52,40217204;13,57803099;68101;6810;68;0;Kauf u. Verkauf v. eigenen Wohngrundstücken, Wohngebäuden u.;Kauf u. Verkauf v. eigenen Grundstücken, Gebäuden u. Wohnung;Grundstücks- u. Wohnungswesen;8;im Handelsregister eingetragen;Treptow-Köpenick;9301025;Alt-Bohnsdorf;Bohnsdorf;Treptow-Köpenick 3;Bohnsdorf
9,43033E+11;Berlin;13053;52,54619386;13,5223572;562900;5629;56;1 - 3 Beschäftigte;Kantinen;Erbringung sonstiger Verpflegungsdienstleistungen;Gastronomie;8;im Handelsregister eingetragen;Lichtenberg;11200411;Hauptstraße;Alt-Hohenschönhausen Nord;Hohenschönhausen Süd;Alt-Hohenschönhausen
9,42994E+11;Berlin;10439;52,55187047;13,40808529;960903;9609;96;0;Tätowier-, Tattoostudio, Piercing;Erbringung v. sonstigen Dienstleistungen a. n. g.;Erbringung v. sonstigen überwiegend persönlichen Dienstleist;8;im Handelsregister eingetragen;Pankow;3601141;Arnimplatz;Prenzlauer Berg Nordwest;Nördlicher Prenzlauer Berg;Prenzlauer Berg
755441036;Berlin;10789;52,50309861;13,33742492;47710;4771;47;0;EH m. Bekleidung;EH m. Bekleidung;Einzelhandel (ohne Handel mit Kraftfahrzeugen);39;Kleingewerbetreibender;Charlottenburg-Wilmersdorf;4501042;Breitscheidplatz;Lietzenburger Straße;Wilmersdorf Zentrum;Charlottenburg
780641204;Berlin;12526;52,39363515;13,5426136;52291;5229;52;4 - 6 Beschäftigte;Spedition;Erbringung v. sonstigen Dienstleistungen f. den Verkehr a. n;Lagerei sowie Erbringung v. sonstigen Dienstleistungen f. de;40;Kleingewerbetreibender;Treptow-Köpenick;9301025;Alt-Bohnsdorf;Bohnsdorf;Treptow-Köpenick 3;Bohnsdorf
9,43028E+11;Berlin;13127;52,60393589;13,42582858;85599;8559;85;1 - 3 Beschäftigte;Unterricht a. n. g.;Sonstiger Unterricht a. n. g.;Erziehung u. Unterricht;8;im Handelsregister eingetragen;Pankow;3200310;Krugpfuhl;Buchholz;Nördliches Pankow;Französisch Buchholz
9,42987E+11;Berlin;10247;52,51822695;13,46692113;960903;9609;96;0;Tätowier-, Tattoostudio, Piercing;Erbringung v. sonstigen Dienstleistungen a. n. g.;Erbringung v. sonstigen überwiegend persönlichen Dienstleist;8;im Handelsregister eingetragen;Friedrichshain-Kreuzberg;2500728;Samariterviertel;Frankfurter Allee Nord;Friedrichshain Ost;Friedrichshain
185224348;Berlin;10719;52,50138036;13,32206592;551;551;55;0;Hotels, Gasthöfe u. Pensionen;Hotels, Gasthöfe u. Pensionen;Beherbergung;40;Kleingewerbetreibender;Charlottenburg-Wilmersdorf;4501041;George-Grosz-Platz;Lietzenburger Straße;Wilmersdorf Zentrum;Charlottenburg
189214614;Berlin;14199;52,47761556;13,28160899;477501;4775;47;0;EH m. Drogerieartikeln / Drogeriemarkt;EH m. kosmetischen Erzeugnissen u. Körperpflegemitteln;Einzelhandel (ohne Handel mit Kraftfahrzeugen);40;Kleingewerbetreibender;Charlottenburg-Wilmersdorf;4400727;Flinsberger Platz;Grunewald;Wilmersdorf Süd;Schmargendorf
189694646;Berlin;10707;52,49077352;13,31288353;477501;4775;47;0;EH m. Drogerieartikeln / Drogeriemarkt;EH m. kosmetischen Erzeugnissen u. Körperpflegemitteln;Einzelhandel (ohne Handel mit Kraftfahrzeugen);39;Kleingewerbetreibender;Charlottenburg-Wilmersdorf;4500939;Eisenzahnstraße;Halensee;Wilmersdorf Zentrum;Wilmersdorf
188134542;Berlin;10719;52,50255529;13,32689088;477501;4775;47;0;EH m. Drogerieartikeln / Drogeriemarkt;EH m. kosmetischen Erzeugnissen u. Körperpflegemitteln;Einzelhandel (ohne Handel mit Kraftfahrzeugen);42;Kleingewerbetreibender;Charlottenburg-Wilmersdorf;4501042;Breitscheidplatz;Lietzenburger Straße;Wilmersdorf Zentrum;Charlottenburg
188524568;Berlin;10719;52,50207632;13,3254822;477501;4775;47;0;EH m. Drogerieartikeln / Drogeriemarkt;EH m. kosmetischen Erzeugnissen u. Körperpflegemitteln;Einzelhandel (ohne Handel mit Kraftfahrzeugen);42;Kleingewerbetreibender;Charlottenburg-Wilmersdorf;4501042;Breitscheidplatz;Lietzenburger Straße;Wilmersdorf Zentrum;Charlottenburg
188914594;Berlin;10719;52,50294882;13,3260849;477501;4775;47;0;EH m. Drogerieartikeln / Drogeriemarkt;EH m. kosmetischen Erzeugnissen u. Körperpflegemitteln;Einzelhandel (ohne Handel mit Kraftfahrzeugen);42;Kleingewerbetreibender;Charlottenburg-Wilmersdorf;4501042;Breitscheidplatz;Lietzenburger Straße;Wilmersdorf Zentrum;Charlottenburg
190084672;Berlin;12157;52,46031055;13,33557233;47521;4752;47;0;EH m. Metall- u. Kunststoffwaren a. n. g.;EH m. Metallwaren, Anstrichmitteln, Bau- u. Heimwerkerbedarf;Einzelhandel (ohne Handel mit Kraftfahrzeugen);38;Kleingewerbetreibender;Steglitz-Zehlendorf;6100209;Feuerbachstraße;Albrechtstraße;Steglitz;Steglitz
157684512;Berlin;10627;52,50681023;13,30747299;47750;4775;47;1 - 3 Beschäftigte;EH m. kosmetischen Erzeugnissen u. Körperpflegemitteln;EH m. kosmetischen Erzeugnissen u. Körperpflegemitteln;Einzelhandel (ohne Handel mit Kraftfahrzeugen);42;Kleingewerbetreibender;Charlottenburg-Wilmersdorf;4300623;Karl-August-Platz;Otto-Suhr-Allee/Kantstraße;Charlottenburg Zentrum;Charlottenburg
93493327444;Berlin;10405;52,53696087;13,42563032;7490017;7490;74;0;Fotomodell, Model;Sonstige freiberufliche, wissenschaftliche u. technische Tät;Sonstige freiberufliche, wissenschaftliche u. technische Tät;22;im Handelsregister eingetragen;Pankow;3701658;Christburger Straße;Prenzlauer Berg Süd;Südlicher Prenzlauer Berg;Prenzlauer Berg
1409141394;Berlin;12099;52,45633366;13,41355333;46901;4690;46;10 - 19 Beschäftigte;GH m. Rohstoffen, Halb- u. Fertigware, ohne ausgeprägten Sch;GH ohne ausgeprägten Schwerpunkt;Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern);40;Kleingewerbetreibender;Tempelhof-Schöneberg;7400927;Rathaus Tempelhof;Tempelhof Südost;Tempelhof;Tempelhof
9,43003E+11;Berlin;10405;52,52765024;13,42224093;432911;4329;43;0;Akustik- u. Trockenbau;Sonstige Bauinstallation;Vorbereitende Baustellenarbeiten, Bauinstallation u. sonstig;8;im Handelsregister eingetragen;Pankow;3701659;Immanuelkirchstraße;Prenzlauer Berg Süd;Südlicher Prenzlauer Berg;Prenzlauer Berg
9,4303E+11;Berlin;10965;52,48581596;13,38146871;70220;7022;70;1 - 3 Beschäftigte;Unternehmensberatung;Unternehmensberatung;"Verwaltung u. Führung v. Unternehmen u. Betrieben; Unternehm";8;Kleingewerbetreibender;Friedrichshain-Kreuzberg;2200209;Viktoriapark;Tempelhofer Vorstadt;Kreuzberg Süd;Kreuzberg
